,FEDFUNDS
1981-07-31,0.9968503937007874
1981-08-31,0.9328083989501312
1981-09-30,0.8304461942257217
1981-10-31,0.788976377952756
1981-11-30,0.6960629921259843
1981-12-31,0.6467191601049869
1982-01-31,0.6913385826771654
1982-02-28,0.7732283464566929
1982-03-31,0.7679790026246719
1982-04-30,0.7816272965879265
1982-05-31,0.7559055118110236
1982-06-30,0.7401574803149606
1982-07-31,0.6582677165354331
1982-08-31,0.5286089238845144
1982-09-30,0.5385826771653544
1982-10-31,0.5070866141732284
1982-11-30,0.4803149606299212
1982-12-31,0.46719160104986873
1983-01-31,0.45301837270341205
1983-02-28,0.44409448818897634
1983-03-31,0.4577427821522309
1983-04-30,0.4593175853018373
1983-05-31,0.4503937007874016
1983-06-30,0.4687664041994751
1983-07-31,0.4892388451443569
1983-08-31,0.4992125984251969
1983-09-30,0.4934383202099737
1983-10-31,0.49501312335958003
1983-11-30,0.4876640419947506
1983-12-31,0.494488188976378
1984-01-31,0.4992125984251969
1984-02-29,0.5007874015748032
1984-03-31,0.5175853018372704
1984-04-30,0.5375328083989501
1984-05-31,0.5391076115485565
1984-06-30,0.5779527559055119
1984-07-31,0.5868766404199476
1984-08-31,0.6083989501312337
1984-09-30,0.5905511811023623
1984-10-31,0.5217847769028872
1984-11-30,0.4923884514435695
1984-12-31,0.4372703412073491
1985-01-31,0.43569553805774275
1985-02-28,0.4435695538057743
1985-03-31,0.4477690288713911
1985-04-30,0.43149606299212595
1985-05-31,0.415748031496063
1985-06-30,0.3926509186351706
1985-07-31,0.4110236220472441
1985-08-31,0.4120734908136483
1985-09-30,0.4131233595800525
1985-10-31,0.41679790026246716
1985-11-30,0.4199475065616798
1985-12-31,0.43149606299212595
1986-01-31,0.4246719160104987
1986-02-28,0.4099737532808399
1986-03-31,0.3900262467191601
1986-04-30,0.3643044619422572
1986-05-31,0.35695538057742776
1986-06-30,0.3606299212598425
1986-07-31,0.3417322834645669
1986-08-31,0.32125984251968503
1986-09-30,0.3065616797900262
1986-10-31,0.3044619422572178
1986-11-30,0.3144356955380577
1986-12-31,0.3601049868766404
1987-01-31,0.3349081364829396
1987-02-28,0.3175853018372703
1987-03-31,0.31916010498687664
1987-04-30,0.33175853018372703
1987-05-31,0.35695538057742776
1987-06-30,0.3506561679790026
1987-07-31,0.34278215223097114
1987-08-31,0.3506561679790026
1987-09-30,0.37637795275590546
1987-10-31,0.3800524934383202
1987-11-30,0.3485564304461942
1987-12-31,0.35275590551181096
1988-01-31,0.3559055118110236
1988-02-29,0.34278215223097114
1988-03-31,0.34278215223097114
1988-04-30,0.358005249343832
1988-05-31,0.3695538057742782
1988-06-30,0.39160104986876637
1988-07-31,0.40419947506561676
1988-08-31,0.4178477690288714
1988-09-30,0.42729658792650915
1988-10-31,0.4330708661417323
1988-11-30,0.43569553805774275
1988-12-31,0.45721784776902885
1989-01-31,0.4761154855643044
1989-02-28,0.4887139107611548
1989-03-31,0.5144356955380578
1989-04-30,0.5139107611548557
1989-05-31,0.5123359580052494
1989-06-30,0.49763779527559054
1989-07-31,0.48241469816272964
1989-08-31,0.46929133858267713
1989-09-30,0.4708661417322834
1989-10-31,0.46141732283464565
1989-11-30,0.4461942257217848
1989-12-31,0.4409448818897637
1990-01-31,0.4293963254593176
1990-02-28,0.42992125984251967
1990-03-31,0.432020997375328
1990-04-30,0.43097112860892384
1990-05-31,0.42677165354330704
1990-06-30,0.4325459317585301
1990-07-31,0.4251968503937008
1990-08-31,0.4241469816272966
1990-09-30,0.4278215223097112
1990-10-31,0.42309711286089235
1990-11-30,0.40734908136482934
1990-12-31,0.3811023622047244
