,A191RL1Q225SBEA
1984-02-29,0.5666140073723012
1984-03-31,0.5613480779357556
1984-04-30,0.5560821484992101
1984-05-31,0.5392311743022643
1984-06-30,0.5223802001053186
1984-07-31,0.5055292259083728
1984-08-31,0.5023696682464455
1984-09-30,0.49921011058451814
1984-10-31,0.4960505529225908
1984-11-30,0.49921011058451814
1984-12-31,0.5023696682464455
1985-01-31,0.5055292259083728
1985-02-28,0.5039494470774092
1985-03-31,0.5023696682464455
1985-04-30,0.5007898894154819
1985-05-31,0.5150078988941548
1985-06-30,0.5292259083728278
1985-07-31,0.5434439178515008
1985-08-31,0.5260663507109005
1985-09-30,0.5086887835703001
1985-10-31,0.4913112164296998
1985-11-30,0.4955239599789363
1985-12-31,0.49973670352817273
1986-01-31,0.5039494470774092
1986-02-28,0.493417588204318
1986-03-31,0.482885729331227
1986-04-30,0.47235387045813587
1986-05-31,0.4834123222748815
1986-06-30,0.49447077409162715
1986-07-31,0.5055292259083728
1986-08-31,0.4965771458662454
1986-09-30,0.48762506582411796
1986-10-31,0.4786729857819905
1986-11-30,0.482885729331227
1986-12-31,0.4870984728804634
1987-01-31,0.4913112164296998
1987-02-28,0.4986835176408636
1987-03-31,0.5060558188520273
1987-04-30,0.5134281200631912
1987-05-31,0.5086887835703001
1987-06-30,0.5039494470774092
1987-07-31,0.49921011058451814
1987-08-31,0.5176408636124276
1987-09-30,0.536071616640337
1987-10-31,0.5545023696682464
1987-11-30,0.5286993154291733
1987-12-31,0.5028962611901
1988-01-31,0.47709320695102686
1988-02-29,0.49447077409162715
1988-03-31,0.5118483412322274
1988-04-30,0.5292259083728278
1988-05-31,0.5134281200631912
1988-06-30,0.4976303317535545
1988-07-31,0.48183254344391785
1988-08-31,0.4976303317535545
1988-09-30,0.5134281200631912
1988-10-31,0.5292259083728278
1988-11-30,0.5223802001053186
1988-12-31,0.5155344918378093
1989-01-31,0.5086887835703001
1989-02-28,0.5034228541337546
1989-03-31,0.49815692469720907
1989-04-30,0.4928909952606635
1989-05-31,0.49236440231700895
1989-06-30,0.49183780937335436
1989-07-31,0.4913112164296998
1989-08-31,0.47972617166929965
